25
172.31.39.135 06:00:17:85:ef:a5
172.31.47.229 06:27:3d:f4:ef:f1
172.31.36.20 06:f1:a6:8f:c6:53
172.31.42.171 06:9a:34:3f:d9:85
172.31.47.248 06:1a:c2:22:92:9b
172.31.34.51 06:96:c2:b8:68:09
172.31.36.100 06:8e:9b:68:17:73
172.31.41.38 06:7d:c7:bc:01:b7
172.31.41.188 06:fb:ad:db:0a:57
172.31.44.244 06:e7:5c:6c:5a:1f
172.31.43.126 06:e0:7b:64:a3:29
172.31.40.152 06:a4:47:af:25:eb
172.31.37.39 06:92:ed:a5:21:87
172.31.41.244 06:57:5b:9f:21:5d
172.31.44.65 06:c8:a3:d4:bd:e9
172.31.32.235 06:97:39:b3:67:3f
172.31.32.223 06:68:48:8c:22:91
172.31.37.147 06:52:aa:bd:a5:f3
172.31.37.169 06:23:cb:db:2d:1d
172.31.32.199 06:b7:67:74:aa:9b
172.31.39.94 06:80:30:5f:4c:61
172.31.45.56 06:3a:3c:a0:4a:5f
172.31.33.6 06:4c:d4:9a:21:61
172.31.46.173 06:84:54:25:51:c1
172.31.42.222 06:b9:41:72:ff:d9
